[ 407] x=-30719, y=  32767
[ 408] x=    0, y=  32767
[ 409] x=    0, y=  11776
[ 410] x= 30687, y=  11776
[ 411] x= 30687, y=     0
[ 412] x= 32767, y=     0
[ 413] x= 32767, y= -13784
[ 414] x= 29906, y= -13784
[ 415] x= 29906, y= -32767
[ 416] x=    0, y= -32767
[ 417] x=    0, y= -13784
[ 418] x=-29951, y= -13784
[ 419] x=-29951, y=     0
[ 420] x=-32767, y=     0
[ 421] x=-32767, y=  11776
[ 422] x=-30719, y=  11776
[ 423] x=-30719, y=  32767
[ 424] x=    0, y=  32767
[ 425] x=    0, y=  11776
[ 426] x= 30687, y=  11776
[ 427] x= 30687, y=     0
[ 428] x= 32767, y=     0
[ 429] x= 32767, y= -13784
[ 430] x= 29906, y= -13784
[ 431] x= 29906, y= -32767
[ 432] x=    0, y= -32767
[ 433] x=    0, y= -13784
[ 434] x=-29951, y= -13784
[ 435] x=-29951, y=     0
[ 436] x=-32767, y=     0
[ 437] x=-32767, y=  11776
[ 438] x=-30719, y=  11776
[ 439] x=-30719, y=  32767
[ 440] x=    0, y=  32767
[ 441] x=    0, y=  11776
[ 442] x= 30687, y=  11776
[ 443] x= 30687, y=     0
[ 444] x= 32767, y=     0
[ 445] x= 32767, y= -13784
[ 446] x= 29906, y= -13784
[ 447] x= 29906, y= -32767
[ 448] x=    0, y= -32767
[ 449] x=    0, y= -13784
[ 450] x=-29951, y= -13784
[ 451] x=-29951, y=     0
[ 452] x=-32767, y=     0
[ 453] x=-32767, y=  11776
[ 454] x=-30719, y=  11776
[ 455] x=-30719, y=  32767
[ 456] x=    0, y=  32767
[ 457] x=    0, y=  11776
[ 458] x= 30687, y=  11776
[ 459] x= 30687, y=     0
[ 460] x= 32767, y=     0
[ 461] x= 32767, y= -13784
[ 462] x= 29906, y= -13784
[ 463] x= 29906, y= -32767
[ 464] x=    0, y= -32767
[ 465] x=    0, y= -13784
[ 466] x=-29951, y= -13784
[ 467] x=-29951, y=     0
[ 468] x=-32767, y=     0
[ 469] x=-32767, y=  11776
[ 470] x=-30719, y=  11776
[ 471] x=-30719, y=  32767
[ 472] x=    0, y=  32767
[ 473] x=    0, y=  11776
[ 474] x= 30687, y=  11776
[ 475] x= 30687, y=     0
[ 476] x= 32767, y=     0
[ 477] x= 32767, y= -13784
[ 478] x= 29906, y= -13784
[ 479] x= 29906, y= -32767
[ 480] x=    0, y= -32767
[ 481] x=    0, y= -13784
[ 482] x=-29951, y= -13784
[ 483] x=-29951, y=     0
[ 484] x=-32767, y=     0
[ 485] x=-32767, y=  11776
[ 486] x=-30719, y=  11776
[ 487] x=-30719, y=  32767
[ 488] x=    0, y=  32767
[ 489] x=    0, y=  11776
[ 490] x= 30687, y=  11776
[ 491] x= 30687, y=     0
[ 492] x= 32767, y=     0
[ 493] x= 32767, y= -13784
[ 494] x= 29906, y= -13784
[ 495] x= 29906, y= -32767
[ 496] x=    0, y= -32767
[ 497] x=    0, y= -13784
[ 498] x=-29951, y= -13784
[ 499] x=-29951, y=     0
[ 500] x=-32767, y=     0
[ 501] x=-32767, y=  11776
[ 502] x=-30719, y=  11776
[ 503] x=-30719, y=  32767
[ 504] x=    0, y=  32767
[ 505] x=    0, y=  11776
[ 506] x= 30687, y=  11776
[ 507] x= 30687, y=     0
[ 508] x= 32767, y=     0
[ 509] x= 32767, y= -13784
[ 510] x= 29906, y= -13784
[ 511] x= 29906, y= -32767
[ 512] x=    0, y= -32767
[ 513] x=    0, y= -13784
[ 514] x=-29951, y= -13784
[ 515] x=-29951, y=     0
[ 516] x=-32767, y=     0
[ 517] x=-32767, y=  11776
[ 518] x=-30719, y=  11776
[ 519] x=-30719, y=  32767
[ 520] x=    0, y=  32767
[ 521] x=    0, y=  11776
[ 522] x= 30687, y=  11776
[ 523] x= 30687, y=     0
[ 524] x= 32767, y=     0
[ 525] x= 32767, y= -13784
[ 526] x= 29906, y= -13784
[ 527] x= 29906, y= -32767
[ 528] x=    0, y= -32767
[ 529] x=    0, y= -13784
[ 530] x=-29951, y= -13784
[ 531] x=-29951, y=     0
[ 532] x=-32767, y=     0
[ 533] x=-32767, y=  11776
[ 534] x=-30719, y=  11776
[ 535] x=-30719, y=  32767
[ 536] x=    0, y=  32767
[ 537] x=    0, y=  11776
[ 538] x= 30687, y=  11776
[ 539] x= 30687, y=     0
[ 540] x= 32767, y=     0
[ 541] x= 32767, y= -13784
[ 542] x= 29906, y= -13784
[ 543] x= 29906, y= -32767
[ 544] x=    0, y= -32767
[ 545] x=    0, y= -13784
[ 546] x=-29951, y= -13784
[ 547] x=-29951, y=     0
[ 548] x=-32767, y=     0
[ 549] x=-32767, y=  11776
[ 550] x=-30719, y=  11776
[ 551] x=-30719, y=  32767
[ 552] x=    0, y=  32767
[ 553] x=    0, y=  11776
[ 554] x= 30687, y=  11776
[ 555] x= 30687, y=     0
[ 556] x= 32767, y=     0
[ 557] x= 32767, y= -13784
[ 558] x= 29906, y= -13784
[ 559] x= 29906, y= -32767
[ 560] x=    0, y= -32767
[ 561] x=    0, y= -13784
[ 562] x=-29951, y= -13784
[ 563] x=-29951, y=     0
[ 564] x=-32767, y=     0
[ 565] x=-32767, y=  11776
[ 566] x=-30719, y=  11776
[ 567] x=-30719, y=  32767
[ 568] x=    0, y=  32767
[ 569] x=    0, y=  11776
[ 570] x= 30687, y=  11776
[ 571] x= 30687, y=     0
[ 572] x= 32767, y=     0
[ 573] x= 32767, y= -13784
[ 574] x= 29906, y= -13784
[ 575] x= 29906, y= -32767
[ 576] x=    0, y= -32767
[ 577] x=    0, y= -13784
[ 578] x=-29951, y= -13784
[ 579] x=-29951, y=     0
[ 580] x=-32767, y=     0
[ 581] x=-32767, y=  11776
[ 582] x=-30719, y=  11776
[ 583] x=-30719, y=  32767
[ 584] x=    0, y=  32767
[ 585] x=    0, y=  11776
[ 586] x= 30687, y=  11776
[ 587] x= 30687, y=     0
[ 588] x= 32767, y=     0
[ 589] x= 32767, y= -13784
[ 590] x= 29906, y= -13784
[ 591] x= 29906, y= -32767
[ 592] x=    0, y= -32767
[ 593] x=    0, y= -13784
[ 594] x=-29951, y= -13784
[ 595] x=-29951, y=     0
[ 596] x=-32767, y=     0
[ 597] x=-32767, y=  11776
[ 598] x=-30719, y=  11776
[ 599] x=-30719, y=  32767
[ 600] x=    0, y=  32767
[ 601] x=    0, y=  11776
[ 602] x= 30687, y=  11776
[ 603] x= 30687, y=     0
[ 604] x= 32767, y=     0
[ 605] x= 32767, y= -13784
[ 606] x= 29906, y= -13784
[ 607] x= 29906, y= -32767
[ 608] x=    0, y= -32767
[ 609] x=    0, y= -13784
[ 610] x=-29951, y= -13784
[ 611] x=-29951, y=     0
[ 612] x=-32767, y=     0
